; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
avaSyE	avaSyA
ASyE	ASyA
praSyE	praSyA
pratiSyE	pratiSyA
saMSyE	saMSyA
aBisaMSyE	aBisaMSyA
avasaMSyE	avasaMSyA
udSraTAya	udSraTAy
viSraTAya	viSraTAy
ASravasya	ASravasy
ASru	ASruz
saMSlakzRaya	saMSlakzRay
upaSlokaya	upaSlokay
saMSlokaya	saMSlokay
udSvi	udSvA
praSvi	praSvA
viSvi	viSvA
saMSvi	saMSvA
niszWIv	niszWu
atisaMDaya	atisaMDay
pratisaMDaya	pratisaMDay
visaparya	visapary
aDisaBAj	aDisaBAjay
acCasf	acCasar
atisf	atisar
anusf	anusar
atyanusf	atyanusar
aByanusf	aByanusar
vyanusf	vyanusar
apasf	apasar
vyapasf	vyapasar
apisf	apisar
aBisf	aBisar
atyaBisf	atyaBisar
avasf	avasar
aByavasf	aByavasar
samavasf	samavasar
Asf	Asar
atyAsf	atyAsar
apAsf	apAsar
pratyAsf	pratyAsar
vyAsf	vyAsar
utsf	utsar
anUtsf	anUtsar
protsf	protsar
pratyutsf	pratyutsar
samutsf	samutsar
upasf	upasar
aByupasf	aByupasar
pratyupasf	pratyupasar
samupasf	samupasar
nisf	nisar
vinisf	vinisar
aBinissf	aBinissar
samaBinissf	samaBinissar
vinissf	vinissar
anuvinissf	anuvinissar
parAsf	parAsar
upaparAsf	upaparAsar
parisf	parisar
prasf	prasar
atiprasf	atiprasar
anuprasf	anuprasar
aBiprasf	aBiprasar
upaprasf	upaprasar
